com.samsung.shealth.stress,6210049,7
start_time,custom,binning_data,tag_id,update_time,create_time,max,min,score,algorithm,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
2020-11-30 23:00:00.000,,b8d37ca9-78bc-3f04-a884-e1903b872680.binning_data.json,10011,2020-12-01 00:02:27.449,2020-12-01 00:02:27.449,98.0,0.0,56.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-30 23:59:59.999,b8d37ca9-78bc-3f04-a884-e1903b872680,
2020-12-01 05:00:00.000,,c6a0e4ce-18be-20e3-10c0-c3b901d1ba0a.binning_data.json,10011,2020-12-01 06:00:31.733,2020-12-01 05:05:17.511,100.0,5.0,93.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-12-01 05:59:59.999,c6a0e4ce-18be-20e3-10c0-c3b901d1ba0a,
2020-12-01 11:00:00.000,,13742c0a-66de-1ae0-1875-d29835416e82.binning_data.json,10011,2020-12-01 12:06:37.299,2020-12-01 11:46:17.339,95.0,10.0,42.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-12-01 11:59:59.999,13742c0a-66de-1ae0-1875-d29835416e82,
2020-12-01 23:00:00.000,,2c86937c-d8f6-b728-2c64-3605075b30d6.binning_data.json,10011,2020-12-02 00:07:15.384,2020-12-01 23:14:36.389,100.0,0.0,55.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-12-01 23:59:59.999,2c86937c-d8f6-b728-2c64-3605075b30d6,
2020-12-02 05:00:00.000,,7c6dcf55-0c06-0d59-f783-fa43f26b9eae.binning_data.json,10011,2020-12-02 06:00:09.820,2020-12-02 05:08:02.449,96.0,3.0,46.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-12-02 05:59:59.999,7c6dcf55-0c06-0d59-f783-fa43f26b9eae,
2020-12-02 11:00:00.000,,7f298ec7-6acf-9a66-338b-2fb4a7c5dfb4.binning_data.json,10011,2020-12-02 12:00:08.848,2020-12-02 11:08:09.847,95.0,2.0,48.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-12-02 11:59:59.999,7f298ec7-6acf-9a66-338b-2fb4a7c5dfb4,
2020-12-03 23:00:00.000,,e27bd7dd-0067-be38-fc49-e33b9984642c.binning_data.json,10011,2020-12-04 00:06:49.488,2020-12-04 00:06:49.488,100.0,0.0,30.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-12-03 23:59:59.999,e27bd7dd-0067-be38-fc49-e33b9984642c,
2020-12-04 05:00:00.000,,83b47840-9d4e-95f1-af3f-470d7541aee1.binning_data.json,10011,2020-12-04 06:05:19.493,2020-12-04 05:15:01.481,100.0,51.0,95.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-12-04 05:59:59.999,83b47840-9d4e-95f1-af3f-470d7541aee1,
2020-12-04 11:00:00.000,,240661c2-bf13-ad49-98c1-726d04543f0d.binning_data.json,10011,2020-12-04 14:27:52.289,2020-12-04 11:02:20.455,100.0,0.0,77.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-12-04 11:59:59.999,240661c2-bf13-ad49-98c1-726d04543f0d,
2020-12-05 03:00:00.000,,4bbee4c0-7149-3ef5-821f-3ccf18a509b0.binning_data.json,10011,2020-12-05 04:05:10.926,2020-12-05 03:09:40.379,100.0,9.0,60.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-12-05 03:59:59.999,4bbee4c0-7149-3ef5-821f-3ccf18a509b0,
2020-12-05 09:00:00.000,,95a45a29-afe8-f0c0-64be-a73ed92dadfa.binning_data.json,10011,2020-12-05 10:39:14.748,2020-12-05 09:28:48.737,100.0,98.0,99.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-12-05 09:59:59.999,95a45a29-afe8-f0c0-64be-a73ed92dadfa,
