com.samsung.shealth.tracker.pedometer_day_summary,6210049,5
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
3676,e34769cf-5c95-4d29-9721-851cfd63d0ed.binning_data.json,2010714,6000,20,2019-02-18 14:42:25.757,com.sec.android.app.shealth,2019-02-17 15:04:00.375,e34769cf-5c95-4d29-9721-851cfd63d0ed.source_info.json,1.3912963,2797.5,141.89,3656,VfS0qUERdZ,com.sec.android.app.shealth,0,e34769cf-5c95-4d29-9721-851cfd63d0ed.achievement.json,e34769cf-5c95-4d29-9721-851cfd63d0ed,1550448000000,
1647,51ebe58f-d1a1-46f4-ab0a-dcb51aec2b80.binning_data.json,836868,6000,13,2019-02-09 14:51:37.750,com.sec.android.app.shealth,2019-02-09 00:31:11.874,51ebe58f-d1a1-46f4-ab0a-dcb51aec2b80.source_info.json,1.5592536,1304.89,61.29,1634,VfS0qUERdZ,com.sec.android.app.shealth,0,51ebe58f-d1a1-46f4-ab0a-dcb51aec2b80.achievement.json,51ebe58f-d1a1-46f4-ab0a-dcb51aec2b80,1549670400000,
9399,38ba63c0-8000-45fc-a91f-a9f3d9c34671.binning_data.json,4788193,6000,81,2019-02-08 11:38:12.435,com.sec.android.app.shealth,2019-02-07 15:02:56.947,38ba63c0-8000-45fc-a91f-a9f3d9c34671.source_info.json,1.5062258,7212.1,355.48996,9318,VfS0qUERdZ,com.sec.android.app.shealth,0,38ba63c0-8000-45fc-a91f-a9f3d9c34671.achievement.json,38ba63c0-8000-45fc-a91f-a9f3d9c34671,1549584000000,
7454,e1c3e7a0-ba8e-4a42-8a7b-72143233d317.binning_data.json,3884750,6000,34,2019-02-23 15:00:04.729,com.sec.android.app.shealth,2019-02-23 15:00:04.729,,3.388889,5517.4097,294.19998,7420,2lBdpDiteS,com.sec.android.app.shealth,3432,e1c3e7a0-ba8e-4a42-8a7b-72143233d317.achievement.json,e1c3e7a0-ba8e-4a42-8a7b-72143233d317,1550880000000,
7913,3fdecb2b-5260-417d-b2ea-ffd132772aac.binning_data.json,4189622,6000,19,2019-02-21 15:00:02.300,com.sec.android.app.shealth,2019-02-21 15:00:02.300,,2.5555558,6096.38,297.72,7894,2lBdpDiteS,com.sec.android.app.shealth,3219,3fdecb2b-5260-417d-b2ea-ffd132772aac.achievement.json,3fdecb2b-5260-417d-b2ea-ffd132772aac,1550707200000,
11173,ae4e319d-b42e-4e67-841d-a0f6be7feaed.binning_data.json,5737790,6000,134,2019-02-26 15:00:06.161,com.sec.android.app.shealth,2019-02-26 15:00:06.161,,3.1111114,8654.3,414.28998,11039,2lBdpDiteS,com.sec.android.app.shealth,0,ae4e319d-b42e-4e67-841d-a0f6be7feaed.achievement.json,ae4e319d-b42e-4e67-841d-a0f6be7feaed,1551139200000,
7017,e9c7659e-fcb2-4fa6-8418-795b86fda041.binning_data.json,3643838,6000,28,2019-02-12 13:56:12.503,com.sec.android.app.shealth,2019-02-11 16:09:34.045,e9c7659e-fcb2-4fa6-8418-795b86fda041.source_info.json,1.4838307,5406.84,258.28,6989,VfS0qUERdZ,com.sec.android.app.shealth,0,e9c7659e-fcb2-4fa6-8418-795b86fda041.achievement.json,e9c7659e-fcb2-4fa6-8418-795b86fda041,1549929600000,
10288,f2f3acc2-3a63-42e7-9e03-195312cb711d.binning_data.json,5196982,6000,105,2019-02-11 15:00:38.925,com.sec.android.app.shealth,2019-02-10 15:36:57.963,f2f3acc2-3a63-42e7-9e03-195312cb711d.source_info.json,1.5037073,7814.7397,406.87997,10183,VfS0qUERdZ,com.sec.android.app.shealth,0,f2f3acc2-3a63-42e7-9e03-195312cb711d.achievement.json,f2f3acc2-3a63-42e7-9e03-195312cb711d,1549843200000,
11716,e5e836ad-376e-43cb-90d0-fca6de9d6cde.binning_data.json,6062102,6000,44,2019-02-24 15:03:51.027,com.sec.android.app.shealth,2019-02-24 15:00:04.507,,3.4166667,8764.989,456.63998,11672,2lBdpDiteS,com.sec.android.app.shealth,0,e5e836ad-376e-43cb-90d0-fca6de9d6cde.achievement.json,e5e836ad-376e-43cb-90d0-fca6de9d6cde,1550966400000,
8288,2b68946c-2ab2-42b8-b87d-bd0a202ed357.binning_data.json,4271165,6000,61,2019-03-01 15:00:03.957,com.sec.android.app.shealth,2019-03-01 15:00:03.957,,3.1111114,6470.71,298.71,8227,2lBdpDiteS,com.sec.android.app.shealth,1009,2b68946c-2ab2-42b8-b87d-bd0a202ed357.achievement.json,2b68946c-2ab2-42b8-b87d-bd0a202ed357,1551398400000,
