com.samsung.shealth.report,6210049,3
timezone,start_date,update_time,create_time,type,is_empty,version,deviceuuid,content,pkg_name,datauuid,compressed_content
Asia/Seoul,1635001200000,2021-10-31 06:19:05.205,2021-10-31 06:19:03.249,0,0,2,Nz95nEBsYs,X,com.sec.android.app.shealth,f1c01668-c714-4bec-aff1-819d33eb0227,f1c01668-c714-4bec-aff1-819d33eb0227.compressed_content.json,
Asia/Seoul,1587826800000,2020-05-03 06:41:15.777,2020-05-03 06:41:14.148,0,0,2,2lBdpDiteS,X,com.sec.android.app.shealth,41923954-ae18-457a-b3bd-7055fad55e5f,41923954-ae18-457a-b3bd-7055fad55e5f.compressed_content.json,
Asia/Seoul,1555772400000,2019-05-04 06:30:58.017,2019-04-28 06:40:41.278,0,0,2,2lBdpDiteS,X,com.sec.android.app.shealth,1b5869d0-3ec4-47cf-aa8e-1b8539182717,1b5869d0-3ec4-47cf-aa8e-1b8539182717.compressed_content.json,
Asia/Seoul,1638630000000,2021-12-12 05:39:47.219,2021-12-12 05:39:45.604,0,0,2,Nz95nEBsYs,X,com.sec.android.app.shealth,f1f37cf2-64f0-469a-964c-e88fdfbbae2e,f1f37cf2-64f0-469a-964c-e88fdfbbae2e.compressed_content.json,
Asia/Seoul,1591455600000,2020-06-14 06:42:02.061,2020-06-14 06:41:17.612,0,0,2,2lBdpDiteS,X,com.sec.android.app.shealth,3cec0c31-7f18-4b1c-b057-970d669f33f5,3cec0c31-7f18-4b1c-b057-970d669f33f5.compressed_content.json,
Asia/Seoul,1559401200000,2019-06-15 06:40:43.198,2019-06-09 06:18:23.276,0,0,2,2lBdpDiteS,X,com.sec.android.app.shealth,0c807156-3708-40d5-9c81-bf20ff31acbb,0c807156-3708-40d5-9c81-bf20ff31acbb.compressed_content.json,
Asia/Seoul,1641654000000,2022-01-16 05:56:48.330,2022-01-16 05:56:46.460,0,0,2,Nz95nEBsYs,X,com.sec.android.app.shealth,13c989c4-a597-40f8-89f8-50fddbbd0326,13c989c4-a597-40f8-89f8-50fddbbd0326.compressed_content.json,
Asia/Seoul,1595084400000,2020-07-27 06:53:28.669,2020-07-26 08:01:21.970,0,0,2,2lBdpDiteS,X,com.sec.android.app.shealth,f5fde989-0e59-453a-9526-045eba920285,f5fde989-0e59-453a-9526-045eba920285.compressed_content.json,
Asia/Seoul,1549119600000,2019-02-16 06:40:44.331,2019-02-10 06:41:37.934,0,0,2,2lBdpDiteS,X,com.sec.android.app.shealth,17d09291-2375-436b-8417-2d3a3a629db3,17d09291-2375-436b-8417-2d3a3a629db3.compressed_content.json,
Asia/Seoul,1563030000000,2019-07-27 06:41:57.253,2019-07-21 06:41:12.260,0,0,2,2lBdpDiteS,X,com.sec.android.app.shealth,ef52353f-77be-4839-bd75-994e71d0f42e,ef52353f-77be-4839-bd75-994e71d0f42e.compressed_content.json,
Asia/Seoul,1598713200000,2020-09-06 06:43:03.110,2020-09-06 06:43:02.023,0,0,2,2lBdpDiteS,X,com.sec.android.app.shealth,13a3e3cf-a9c4-47b8-8c40-85715d17b870,13a3e3cf-a9c4-47b8-8c40-85715d17b870.compressed_content.json,
Asia/Seoul,1566658800000,2019-09-06 07:31:02.877,2019-09-01 07:00:25.814,0,0,2,2lBdpDiteS,X,com.sec.android.app.shealth,4347834a-3b8e-4010-b235-e59c694fa574,4347834a-3b8e-4010-b235-e59c694fa574.compressed_content.json,
Asia/Seoul,1552748400000,2019-03-30 07:00:02.630,2019-03-24 06:41:02.985,0,0,2,2lBdpDiteS,X,com.sec.android.app.shealth,8fe32004-3f0f-4ad8-9484-47021f4c6ef3,8fe32004-3f0f-4ad8-9484-47021f4c6ef3.compressed_content.json,
Asia/Seoul,1570287600000,2019-10-13 06:40:49.705,2019-10-13 06:40:46.453,0,0,2,2lBdpDiteS,X,com.sec.android.app.shealth,95e27b1b-6b33-4c9c-bbe4-7656476353fd,95e27b1b-6b33-4c9c-bbe4-7656476353fd.compressed_content.json,
Asia/Seoul,1602342000000,2020-10-18 06:41:05.075,2020-10-18 06:41:02.584,0,0,2,2lBdpDiteS,X,com.sec.android.app.shealth,38ac6e98-0887-46fd-9920-67932abffe41,38ac6e98-0887-46fd-9920-67932abffe41.compressed_content.json,
Asia/Seoul,1556377200000,2019-05-11 06:40:44.894,2019-05-05 06:43:02.303,0,0,2,2lBdpDiteS,X,com.sec.android.app.shealth,acb95963-37ec-4370-8757-e562d1b97402,acb95963-37ec-4370-8757-e562d1b97402.compressed_content.json,
Asia/Seoul,1573916400000,2019-11-24 06:42:03.479,2019-11-24 06:42:01.552,0,0,2,2lBdpDiteS,X,com.sec.android.app.shealth,93d95b7c-8098-412b-9c83-0db08a821ed4,93d95b7c-8098-412b-9c83-0db08a821ed4.compressed_content.json,
Asia/Seoul,1560006000000,2019-06-22 07:34:37.818,2019-06-16 06:42:01.452,0,0,2,2lBdpDiteS,X,com.sec.android.app.shealth,36e84be6-127a-49e2-a4e3-0542a936091c,36e84be6-127a-49e2-a4e3-0542a936091c.compressed_content.json,
Asia/Seoul,1605970800000,2020-11-29 08:29:52.634,2020-11-29 08:29:44.144,0,0,2,2lBdpDiteS,X,com.sec.android.app.shealth,fd440b0c-2e56-4c5c-bc72-97130d975142,fd440b0c-2e56-4c5c-bc72-97130d975142.compressed_content.json,
Asia/Seoul,1577545200000,2020-01-05 06:40:47.229,2020-01-05 06:40:45.559,0,0,2,2lBdpDiteS,X,com.sec.android.app.shealth,2cfb20b9-fdd6-4590-83d3-3174b005e9da,2cfb20b9-fdd6-4590-83d3-3174b005e9da.compressed_content.json,
Asia/Seoul,1563634800000,2019-08-02 05:39:32.393,2019-07-28 07:11:14.172,0,0,2,2lBdpDiteS,X,com.sec.android.app.shealth,02dfa091-62c2-4035-a3b1-479e657cb457,02dfa091-62c2-4035-a3b1-479e657cb457.compressed_content.json,
